title,region,publisher,productId,upc,releaseDate,rating
Double Strike,US,American Video Entertainment,,,1990,
Dough Boy,JP,Kemco,KSC-DB,4906571115319,12/11/85,
Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai,JP,Technos,TJC-UH,4968947920088,10/12/90,
Downtown Special: Kunio-kun no Jidaigeki Dayo Zenin Shuugou!,JP,Technos,TJC-J6,4968947920118,07/26/91,
Dr. Chaos,US,"FCI, Inc.",NES-DC,,November 1988,
Dr. Jekyll and Mr. Hyde,US,Bandai,NES-JH,045557071004,April 1989,
Dr. Mario,US,Nintendo,NES-VU-USA,,October 1990,E
Drac's Night Out,US,Parker Brothers,,,Canceled,
Dragon Ball 3: Gokuuden,JP,Bandai,,4902425281278,10/27/89,
Dragon Ball Z Gaiden: Saiya-jin Zetsumetsu Keikaku,JP,Bandai,,4902425398969,08/06/93,
Dragon Ball Z II: Gekigami Freeza!!,JP,Bandai,,4902425335681,08/10/91,
Dragon Ball Z III: Ressen Jinzou Ningen,JP,Bandai,,4902425365671,08/07/92,
